Unnamed: 0,Coal_Share_PhasedOut,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,num_supply_policy,WDI_Coal_El_.,WDI_NG_El_.,Share_VRE_Gen,Coal_logCurrent_MW,Gas_logCurrent_MW,LogBP_GasR2P_yr,HHI_Coal_Import,HHI_Gas_Import,NetValue_Coal_Import,NetValue_Gas_Import,R_Choice
PRK-2011,-0.28227063795277585,1.6742609563510578,-0.30709211942732834,-0.023947539609002734,0.2777059118991592,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,0.09285478461018891,0.9582536788406211,-0.21837201733718953,-0.015896975530040762,0.0
PRK-2012,-0.28227063795277585,1.830027364398919,-0.30709211942732834,0.24726321384905275,0.23183863019091477,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.2804911641759689,0.9582536788406211,-0.22744987024018312,-0.010680073692157744,0.0
PRK-2013,-0.28227063795277585,2.533860763726296,-0.30709211942732834,0.5184739673071083,0.004590263670396599,-1.0031989201197056,-0.42518378683920405,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.23359253806799957,0.4207384402463609,-0.2715138079250221,-0.046654416376229184,0.2
PRK-2014,-0.28227063795277585,2.280019209870517,-0.30709211942732834,0.5184739673071083,0.12324049829954083,-1.0031989201197056,-0.4163693721386382,0.6629818481026472,-2.275119178841362,-0.5952616121551928,-0.1792651776923841,0.4474616527912682,-0.22808717402785225,0.4795942833013416,0.2
PRK-2015,-0.28227063795277585,2.9146230945099547,-0.30709211942732834,0.5184739673071083,0.013439838178935279,-1.0031989201197056,-0.4136961480081383,0.6629818481026472,-2.275119178841362,-0.5952616121551928,1.0028024550704258,0.004840893661769085,-0.20337647684605112,0.3069433218553472,0.0
PRK-2016,-0.28227063795277585,2.7011654242221437,-0.30709211942732834,0.5184739673071083,0.09612658122445729,-1.0031989201197056,-0.41587435971886,0.6629818481026472,-2.275119178841362,-0.5952616121551928,0.3173541195961952,-0.13689016496125433,-0.22979079175647782,0.43991407614886113,0.4
PRK-2017,-0.28227063795277585,3.3126928039655987,-0.30709211942732834,0.5184739673071083,-0.06305246441955249,-1.0031989201197056,-0.4146318283783624,0.6629818481026472,-2.275119178841362,-0.5952616121551928,1.0239145157273812,-0.6681793808697742,-0.07931181217977848,0.9292028506095714,0.0
PRK-2018,-0.28227063795277585,3.5203813480294146,-0.30709211942732834,0.5184739673071083,-0.18079505326292086,-1.0031989201197056,-0.4150012166203869,0.7223104547737701,-2.275119178841362,-0.5952616121551928,-0.46096637496975645,-0.09332946833969842,0.14255895304511695,0.533339427499526,0.4
PRK-2019,-0.28227063795277585,3.549226979149387,-0.30709211942732834,0.5184739673071083,-0.1153762572092768,-1.0031989201197056,-0.40222561660645617,0.7223104547737701,-2.275119178841362,-0.5952616121551928,1.5433734266943209,-0.8709434346846178,-0.009078347169003572,1.1085125184145916,0.0
PRK-2020,-0.28227063795277585,3.6184564938373267,-0.30709211942732834,0.5184739673071083,-0.22293410914858508,-1.0031989201197056,-0.40477821263498276,0.7223104547737701,-2.275119178841362,-0.5952616121551928,1.5433734266943209,-0.23164596051877648,-0.009518588238191086,0.8428461764474222,0.0
PRK-2021,-0.28227063795277585,3.537688726701401,-0.30709211942732834,0.5184739673071083,-0.15888303108768329,-1.0031989201197056,-0.40384619332876925,0.7223104547737701,-2.275119178841362,-0.7226081919548272,-0.07564579105385508,0.03155882846606227,-0.33950194158383395,1.0539672553835806,0.2
PRT-1995,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.7581470909218009,-1.0031989201197056,-0.4158827845397842,0.5758817467117625,-1.0495515973070366,-0.4312933703653492,-1.2541589469644898,-0.021183648028304105,0.0396499571433401,-0.017888001816553364,1.0
PRT-1996,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.6035558612399886,-1.0031989201197056,-0.41622336178178454,0.5758817467117625,-1.0495515973070366,-0.5249830154328263,-1.1662827870354353,0.8649886279480868,0.03426620688549322,-0.017885985121360255,1.0
PRT-1997,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.6659484429524825,-0.9948694924464618,-0.4071212076812778,0.5758817467117625,-1.0495515973070366,-0.6486845085476355,-1.0633093362469124,0.956387928115438,0.036290823787650875,-0.01193993052431047,1.0
PRT-1998,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.3874149873739094,-0.8375150201535532,-0.38952516391409164,0.5758817467117625,-0.13909008045096422,-0.45633634408051377,-1.0332495079609096,0.9579504750710874,0.03000242025182156,-0.004303526041880953,1.0
PRT-1999,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.5522486504631791,-0.4021959199671495,-0.3820710075953261,0.5758817467117625,-0.013683624987376292,-0.5952616121551928,-1.0373887826458577,0.7936762459465255,0.02718180739908777,0.022094954287005458,1.0
PRT-2000,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.49850688053964043,-0.47747954105065604,-0.3647690813777169,0.5698023692945086,0.0067934377833581035,-0.5952616121551928,-0.6122025161622606,-0.6539383143021854,0.028342176779872896,0.04645264162429224,1.0
PRT-2001,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.33039049301151874,-0.5041977678125332,-0.3383683885083521,0.5698023692945086,0.0067934377833581035,-0.5952616121551928,-1.1618251749948336,0.9582521469129536,0.0293368816665933,0.05896476112750847,1.0
PRT-2002,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.4776052868294977,-0.37083018166612414,-0.3036085826318774,0.5698023692945086,0.0067934377833581035,-0.5952616121551928,-1.136648945073514,0.9292393328782081,0.028169225591689905,0.06189739210716408,1.0
PRT-2003,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.39677023000407236,-0.471728851592951,-0.2594871906301514,0.5698023692945086,0.10611332530301722,-0.5952616121551928,-0.9532815411386628,0.527511947923281,0.02795398507976032,0.08146219344500989,1.0
PRT-2004,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.4707451821535228,-0.17023809764283476,-0.14313431617302777,0.5698023692945086,0.18212629923360604,-0.5952616121551928,-0.801410231064207,-1.1614629354205979,0.04499513495715052,0.10017553527104371,1.0
PRT-2005,-0.09961483056319995,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,0.4638070960880858,-0.06220200161005069,0.16570075237655577,0.5698023692945086,0.18212629923360604,-0.5952616121551928,-0.8375724364475133,-0.9926504347090314,0.05231818901336095,0.13291599873529827,1.0
PRT-2006,-0.09961483056319995,-0.2909163212236564,-0.30709211942732834,-0.5663690465251137,0.380043982952862,-0.19151700275111175,0.5048159072534564,0.5698023692945086,0.2437182499670604,-0.5952616121551928,-0.7185635020744378,-1.177829472440953,0.044690784620051306,0.1797942945246958,1.0
PRT-2007,-0.09961483056319995,0.6041429678211873,-0.30709211942732834,-0.5663690465251137,0.21208646287047786,-0.10924051428465183,0.9096558361899814,0.5698023692945086,0.2437182499670604,-0.5952616121551928,-0.7007614651108649,-0.4853621959895539,0.05162505980270243,0.1359114408147252,1.0
PRT-2008,-0.09961483056319995,1.0237020095609561,-0.30709211942732834,-0.5663690465251137,0.1420192824803708,0.064451804180147,1.5408493179427587,0.5698023692945086,0.24812642955920436,-0.5952616121551928,-0.8996299251909229,-0.8719792849779361,0.0709467232533971,0.22640136490921,1.0
PRT-2009,-0.09961483056319995,0.42932670042961824,-0.30709211942732834,-0.5663690465251137,0.19761801753588518,-0.05344441335125687,1.9863567052664304,0.5698023692945086,0.3592940507625267,-0.5952616121551928,-1.023011047538021,-1.2181381646575198,0.06843913759057835,0.20289657720919074,1.0
PRT-2010,-0.09961483056319995,2.4571954021718425,-0.30709211942732834,0.24726321384905275,-0.2974204948286903,-0.11671335684699566,2.271037152125514,0.5698023692945086,0.3760277873998122,-0.5952616121551928,-0.8706546177010165,-0.9663167562115014,0.03350162504064617,0.22030511683510987,1.0
PRT-2011,-0.09961483056319995,1.4957059315182022,-0.30709211942732834,0.24726321384905275,-0.075488398154434,-0.08492482023937566,2.3799612166029758,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.10810331259962265,-0.9811537487988886,0.07433161283418206,0.2273904278408882,1.0
PRT-2012,-0.09961483056319995,0.36289651882081814,-0.30709211942732834,0.24726321384905275,0.2999046621878994,-0.2553478753130789,3.177729982422177,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.09761693547455078,-0.5511146660931416,0.08508997485124527,0.26124083686084704,1.0
PRT-2013,-0.09961483056319995,0.7999371872997462,-0.30709211942732834,0.24726321384905275,0.09596691738026593,-0.5462987080519257,3.385443113576694,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.35275206612533944,-1.2409126577368106,0.0732869405531497,0.30831816884417085,1.0
PRT-2014,-0.09961483056319995,0.7614776084736026,-0.30709211942732834,0.24726321384905275,0.07965377993512886,-0.5830520988262632,3.354744621664221,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.8156353904270588,-0.748674654961765,0.05349804171847731,0.25535854934545266,1.0
PRT-2015,-0.09961483056319995,-0.21050083822353335,-0.30709211942732834,0.24726321384905275,0.30004210237842477,-0.3452736470375428,3.3063875877095037,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.9542719939544274,-1.3332317798953517,0.05745449363367058,0.10834980849503607,1.0
PRT-2016,-0.09961483056319995,0.5237274848210641,-0.30709211942732834,0.24726321384905275,0.016298546430529356,-0.3235891010208664,3.05282952100136,0.5698023692945086,0.44736147008398347,-0.5952616121551928,1.1392272632865783,-1.1883046442207883,0.037926667690159205,0.11168986331233584,1.0
PRT-2017,-0.09961483056319995,-0.18952288613654464,-0.30709211942732834,0.5184739673071083,0.173040262314087,0.04258754276703092,3.1123081674326074,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.49017235989177393,-0.710289468268084,0.08907071951773793,0.19076654624626424,1.0
PRT-2018,-0.09961483056319995,0.7404996563866127,-0.30709211942732834,0.7896847207651637,-0.014478694472516932,-0.1495042095474819,3.1722427869133516,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.4773169093150956,-1.0357190282130662,0.07229909117204389,0.14302824644679044,1.0
PRT-2019,-0.09961483056319995,3.0061184817813706,-0.30709211942732834,1.0608954742232193,-0.3951194318343184,0.06262430578910909,4.048049033235547,0.5698023692945086,0.44736147008398347,-0.5952616121551928,0.053859423208548154,-1.0626504739622475,0.037114312900261896,0.18159248974912248,1.0
PRT-2020,-0.09961483056319995,4.114453617043934,-0.30709211942732834,1.0608954742232193,-0.6307646483357457,0.08762625695042492,3.768415099157879,0.5698023692945086,0.44736147008398347,-0.5952616121551928,1.091368150823926,-1.209905142908312,-0.006695606241761467,0.13441608511920433,1.0
PRT-2021,7.126248909768435,4.659880371305637,-0.30709211942732834,1.0608954742232193,-0.7449343814379042,0.002798955624678829,4.395562954110382,-1.278530576799795,0.44736147008398347,-0.5952616121551928,1.2529739007969023,-1.1018098566124674,-0.009430330347522177,0.18781871786180865,1.0
PRT-2022,7.126248909768435,4.91860844704516,-0.30709211942732834,1.0608954742232193,-0.8024022391036367,0.1776885758889,4.939044510147238,-1.278530576799795,0.44736147008398347,-2.3992030547597576,-0.5853991609442372,-1.009249875525325,0.21582604724393198,0.8765680943468673,1.0
QAT-1995,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.34299326093696625,-0.5952616121551928,1.5433734266943209,0.9582536788406211,-0.009672979611224566,-0.017890326143216603,0.0
QAT-1996,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,0.8582176138808927,-0.33749020955240516,-0.7764195340773642,-1.1508317135482844,0.0
QAT-1997,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,0.49904042010009914,0.9582536788406211,-0.32018442083660015,-0.06608242228486776,0.0
QAT-1998,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,1.5433734266943209,0.9582536788406211,-0.009679696318521619,-0.07816144152396634,0.0
QAT-1999,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,1.5433734266943209,-2.282465246152466,-0.009680129464995298,-0.12953197001821354,0.0
QAT-2000,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,0.24267645838405047,0.9582536788406211,-0.009667162482364816,-0.42839966354405884,0.0
QAT-2001,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,-0.12281705471004836,-0.5952616121551928,-0.6998675554330449,-2.282465246152466,-0.009677883238304813,-0.47379152618109527,0.0
QAT-2002,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.010914384765332661,-0.5952616121551928,-0.7985583943386735,0.9582536788406211,-0.00963835943840224,-0.428284956792702,0.0
QAT-2003,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.010914384765332661,-0.5952616121551928,1.5231858212573592,0.9582536788406211,-0.009464191263090282,-0.4799027723148028,0.0
QAT-2004,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.17969590570432767,-0.5952616121551928,1.2723043786357822,-2.282465246152466,-0.00982977341344381,-0.6392017107440078,0.0
QAT-2005,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.17969590570432767,-0.5952616121551928,0.3639038605841478,0.7408562762606232,-0.009648651616465215,-0.7874236079185342,0.0
QAT-2006,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.17969590570432767,-0.5952616121551928,1.4007089104742259,-0.42777242142612143,-0.009638989469636686,-1.2466420195647165,0.0
QAT-2007,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.26598917604039335,-0.5952616121551928,-0.3372360404612395,0.9150250338277932,-0.009465140878538609,-1.4081284925640263,0.0
QAT-2008,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.3803863466582705,-0.5952616121551928,1.2038608794740626,0.7106340366022504,-0.009431265386971638,-3.049544014645004,0.0
QAT-2009,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.3803863466582705,-0.5952616121551928,1.3711154520742352,0.8660502526281314,-0.009356627135598728,-2.0172079155905767,0.0
QAT-2010,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.5293786723416903,-0.5952616121551928,0.09681309801821127,-0.09401086413606609,-0.009089876348999923,-4.796660034981841,0.0
QAT-2011,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.7178062802198439,-0.5952616121551928,1.404740042149303,0.9582536788406211,-0.008483899646171142,-6.46879768805092,0.0
QAT-2012,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.7178062802198439,-0.5952616121551928,1.5234891742748193,0.9475661043600356,-0.008163747620990888,-5.718494064729301,0.0
QAT-2013,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.42518378683920405,-1.278530576799795,0.7178062802198439,-0.5952616121551928,1.3778028552589174,-1.2633360688845536,-0.008373426845473602,-8.310423169334639,0.0
QAT-2014,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.4209577968964168,-1.278530576799795,0.7178062802198439,-0.5952616121551928,-0.34568886029322854,-1.5222185568127582,-0.006580711039498387,-9.395338076770084,0.0
QAT-2015,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.191183387106804,-0.4212450000964123,-1.278530576799795,0.7178062802198439,-0.5952616121551928,0.08524762969988119,-1.1844359645501144,-0.007401062396413827,-4.007284755678771,0.0
QAT-2016,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.187980699405579,-0.42132099272462487,-1.278530576799795,0.7178062802198439,-0.5952616121551928,1.454866518673319,0.5590790435809403,-0.007243744510892172,-3.985172865850981,0.0
QAT-2017,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.1882090977405455,-0.42159607184937753,-1.278530576799795,0.7574045491474947,-0.5952616121551928,-1.0278950124215716,-1.3354408769549648,-0.007143770562868352,-4.665845812100089,0.0
QAT-2018,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.1883550810119856,-0.42177156654011416,-1.278530576799795,0.792707874613096,-0.5952616121551928,-1.0504385944239143,-2.282465246152466,-0.008072280617497634,-4.00524193368672,0.0
QAT-2019,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.1884656066398156,-0.42190439706866933,-1.278530576799795,0.792707874613096,-0.5952616121551928,-0.9169874054256673,0.9285065466489425,-0.009142924282773104,-5.297517075440572,0.0
QAT-2020,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.1883224983124516,-0.421731063141268,-1.278530576799795,0.792707874613096,-0.5952616121551928,1.3636267916469516,0.9094591249032633,-0.009088044559292038,-2.3553019668115747,0.0
QAT-2021,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.8073289667655044,2.188493397765889,-0.42193890969517445,-1.278530576799795,0.792707874613096,-0.5952616121551928,-0.8554701117764183,0.9479142300606148,-0.009600086781327465,-3.8510725141712183,0.0
QAT-2022,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.5663690465251137,-0.5268568310250685,1.450763737465517,-0.4218250915644144,-1.278530576799795,0.792707874613096,-0.5952616121551928,-0.06492179058266088,0.40769454752437567,0.3879607813940787,-0.4212334331467344,0.0
ROU-1995,-0.28227063795277585,-0.38531710561510457,1.9315955346128462,-0.8375797999831692,0.545967942771959,-0.14237686651874554,-0.42518378683920405,0.8999965477892352,0.29451961039251773,1.2300346647268463,-1.2387405119862067,0.9582536788406211,0.04191491573278311,0.0388376793287813,0.0
ROU-1996,-0.28227063795277585,-0.38531710561510457,1.6805911612810664,-0.8375797999831692,0.49955779351831847,-0.1329835737354065,-0.42518378683920405,0.8999965477892352,0.29451961039251773,1.2181791726079831,-1.3957682394357687,0.9582536788406211,0.04859990935469686,0.04915026294297976,0.0
ROU-1997,-0.28227063795277585,-0.38531710561510457,3.9294546682941474,-0.8375797999831692,0.35868353239745354,-0.43953700393590117,-0.42518378683920405,0.8999965477892352,0.29451961039251773,1.2717569198380307,-1.1763593149639195,0.9582536788406211,0.05313790207205752,0.041088971546509874,0.0
ROU-1998,-0.28227063795277585,-0.38531710561510457,3.902319060366388,-0.8375797999831692,0.2734367704300415,-0.39622090021246864,-0.42518378683920405,0.9018929405968121,0.29451961039251773,1.273652633710837,-1.2588855036289384,0.9582533362631475,0.029086127059761865,0.026122960575589188,0.0
ROU-1999,-0.28227063795277585,-0.38531710561510457,4.485734630813225,-0.8375797999831692,0.3279473262059033,-0.47172576835338476,-0.42518378683920405,0.9018929405968121,0.29451961039251773,1.2271883787028104,-1.305206830741238,0.9582514628065898,0.011311908864619077,0.007322116054190229,0.0
