"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"WDI_Coal_Max_Perc",0.0622182580639517,-0.00438623755461908,0.401431786961851,-0.0391879155576721,0.155723488456104,-0.2440813912605,-0.00421627088697209,0.0742560594226524,-0.269778923014291,0.0742089147429665,-0.0919553305043308,0.0225487902166744,-0.0802135662164386,-0.19624027194143,0.305909961675881,-0.0353846330481635,0.366251429107847,-0.123675071576992,-0.161201639837205,-0.079556904549786,0.37857218212179,-0.096173717371822,-0.00785149672866749,0.227220023446696,-0.238112286070036,-0.0250671181270801,-0.192525391085182,0.108409727095611,-0.0601504134590619,0.0666507123878884,0.0262052446414328,0.0888982010820562,-0.0419116267608011,-0.0804970475889661,0.00112699805567348
"WDI_NG_El_Perc",0.000700056269669132,0.296980747573152,-0.328922139464316,-0.0440253899437157,-0.120616530399349,-0.235829325056608,-0.0279109141970107,0.00211825690033183,-0.174647630059588,-0.00515709594786048,-0.25986682270148,0.179549250965404,0.143342495811518,0.124297252405797,0.112119046776856,0.220859660583427,0.125401317209447,-0.0527497277923624,-0.078596569141391,0.179106729344829,-0.0463030475272008,0.0416574867792111,0.157823449994958,-0.109873925593534,-0.0195290716125396,0.0612210866776208,-0.000572592402268794,-0.258096242857519,-0.177389175016572,0.209046077029942,-0.38402595168579,0.129895878572701,-0.036148201453949,-0.261981965680686,0.158926933792121
"WDI_NG_Max_Perc",-0.00973179675625933,0.324602321586057,-0.264044084601673,0.00121370938637477,-0.190773650607688,-0.343762798792435,0.00820123355177992,-0.0197423441620492,-0.128047429821938,-0.0122302651105114,-0.217896678809482,0.190052661118563,0.00405988455449049,0.117315625137033,-0.0290520643081926,0.0354068604324776,0.0744798252824048,0.0915174919147614,0.0382924443846559,0.070942775660027,0.216683428854446,-0.170649598154642,-0.111258097576737,-0.0546476213370354,0.0746401601082991,-0.115766943265165,0.0501328573621927,0.194104152397744,0.170612327405008,-0.296637242731971,0.326545120801245,-0.109346562240034,0.0836339068386227,0.269116055419296,-0.260077759493469
"WG_GovEff",0.262064655674896,0.13209516139204,0.0264158615784688,0.0358930726169351,0.00277597291242271,-0.0363000832319199,-0.0280382055950139,-0.0814406027324177,0.12783582840265,-0.147202441651365,0.121912725183489,-0.0179082197346969,-0.078076383309393,0.0284630351092174,0.0622672917041484,-0.0769785746539704,-0.0795549367043513,-0.0886507887565683,-0.236290474442204,-0.00477962954967216,-0.0110035285693649,-0.0974045953322071,-0.0439254715515634,-0.0861139324826021,-0.394201680914932,-0.248679316565237,0.138486530208905,-0.26195379189034,-0.0447879078164752,0.0512735012812893,-0.266480053171884,-0.248472440107685,-0.309197294896974,0.433187792178935,-0.136263062301077
"WG_Reg",0.278674922400341,0.0550893919527586,0.0433931721251554,0.0173286269460748,0.0109054421599987,0.0351397111829375,-0.0527753952061572,-0.0176568002602148,0.0717872031044106,-0.0226700452629666,0.0806388043427853,-0.0276123277826674,-0.0763629934463881,-0.011286283120269,0.0605378132733147,-0.145710892533224,-0.0574827812935334,-0.0954586801151632,-0.010375293840758,0.00450211278356563,0.110560939940255,-0.130437671760641,0.10191207838486,-0.183121531231427,0.248467640719892,-0.144048177567293,-0.153156282636331,-0.194437728568087,-0.0467258921864289,0.192343040823632,-0.0673385853308736,0.435141891294241,0.551267307724011,0.184621737077125,-0.261515233695766
"WG_Voice",0.250772472571681,-0.154462867941691,0.0273985509314382,-0.0163999705969227,-0.0162401307773199,-0.00978417844303497,0.0280351677831617,0.00926270481324089,0.119497118124226,0.0907002721835379,-0.0330805261901432,0.148227618767406,0.157060390763786,0.190418802425644,0.0356109470830858,0.00317370296539356,-0.246153080489805,-0.124589136596167,-0.337305510743783,0.10678310131304,0.230219566197122,0.176667575375125,0.0549898579586999,-0.154496838607596,0.268727440045727,-0.0629803707036663,-0.251926793769271,0.0727625610328185,-0.354383968995683,0.09421815987671,0.297368144546006,-0.266016071365414,-0.178113351839338,-0.137331930929544,-0.0405559042495826
"subfed",0.0869727391532439,0.159339073865062,-0.14456594771448,0.331233438281606,0.191428023242458,0.236734145677784,0.233160145765557,0.03712961067506,-0.120667502020398,0.245973827384028,0.0310970957312428,0.0237696234899746,0.0678453551100227,-0.403357719999651,0.190280990087891,0.00634619601119234,0.00523590394443274,0.471083814965738,-0.156321644805335,0.147935976020408,0.0052319777465141,0.183027891986525,0.142801939299422,-0.14961647410357,-0.0131755088876986,-0.19236446931237,0.0364710745516074,0.139434400369813,0.0241122144985386,-0.0161025526483534,-0.030657477590529,-0.0294257297385956,0.0341676108928093,0.033899368963704,0.0193070710156559
"R_IndepProducer",0.0216044871470947,-0.154130797584509,0.0357279671083723,0.198819997049178,-0.36824772901441,-0.0704500711019322,0.368123074540483,-0.131433469511169,0.29785793724359,-0.0196026009882191,-0.31802079305365,0.192567737896285,0.0212829122400572,-0.13719712043413,0.155135943674639,-0.230019474269962,0.131694808752626,-0.0990784872166985,-0.0423459906948863,-0.390848494366613,-0.127606138853732,0.049269063040411,0.20523964628462,-0.0680513998899443,-0.0380656137473422,0.178700666401591,0.15022185769724,0.0511354481485572,-0.0805390464862281,-0.0325166492915023,0.00321801095139915,0.0366552408407494,0.0340239947576076,0.0469625064790198,-0.00553461780054833
"R_Private",0.0730527246968952,-0.215762426822357,-0.00195510889950939,0.262908107631192,-0.305085466333988,-0.0231782118822915,0.0102792145676514,-0.0730735624200467,-0.204333157825287,0.22025507373504,0.153881352025772,-0.154611906762884,-0.402479754757365,0.162246043482663,0.323268159056372,0.5013230859125,-0.047372535739551,-0.0834213871442194,0.0803905024721711,-0.0583142785875062,-0.00863173063718602,0.155597508598554,-0.0236454261672975,0.00230821554827018,0.0529104326879578,-0.0156208403416788,0.0190665243498297,-0.143053070565188,-0.0100974564646061,-0.14694265045535,0.027146193050028,-0.0241525650807765,0.0364392719362498,0.0759033770409881,0.00673329856416186
"R_Unbundle",0.135086399929439,-0.231726599034519,0.0790272234285062,0.134726029794279,-0.262550423861623,-0.176568672675566,-0.153316909409943,0.102415066301487,-0.221965901643987,0.207963830619244,-0.0238362721001176,-0.0192752475231307,0.284002078444273,0.051035514733189,-0.141040183209037,-0.0811643387590441,-0.330322011709725,0.457115743253734,0.0105493395042754,-0.226758917713195,0.0939307147061784,-0.324926695924461,-0.0334930384576743,0.16458474026152,-0.0798169216331875,0.0295246618778213,0.0668553720461177,-0.123917641246525,-0.0447116355912966,0.123285111678134,-0.0836172463668317,0.019164163421367,0.000861552042807757,-0.050036687599908,0.00405802909824133
