Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2046,R10NORTH_AM,86.97,266650019.99999997,175.72236317999995,Const_low
2046,R10PAC_OECD,10.398,31880267.999999996,21.009096611999997,Const_low
2046,R10REF_ECON,24.114,73933524.0,48.722192316000005,Const_low
2046,R10REST_ASIA,59.778000000000006,183279348.0,120.78109033199999,Const_low
2047,R10AFRICA,42.639,130731174.0,86.151843666,Const_low
2047,R10CHINA+,78.363,240260957.99999997,158.33197132199996,Const_low
2047,R10EUROPE,18.712,57370991.99999999,37.807483727999994,Const_low
2047,R10INDIA+,13.718,42059388.0,27.717136692000004,Const_low
2047,R10LATIN_AM,34.362,105353892.0,69.428214828,Const_low
2047,R10MIDDLE_EAST,111.68688,342431974.0799999,225.66267091871998,Const_low
2047,R10NORTH_AM,74.875,229566750.00000003,151.28448825,Const_low
2047,R10PAC_OECD,8.57,26275620.0,17.31563358,Const_low
2047,R10REF_ECON,21.021,64450386.0,42.472804374000006,Const_low
2047,R10REST_ASIA,49.818,152741987.99999997,100.65697009199998,Const_low
2048,R10AFRICA,25.51,78213660.0,51.54280194,Const_low
2048,R10CHINA+,71.40100000000001,218915466.0,144.265292094,Const_low
2048,R10EUROPE,16.38,50221079.99999999,33.09569172,Const_low
2048,R10INDIA+,9.172999999999998,28124418.0,18.533991461999996,Const_low
2048,R10LATIN_AM,30.665,94018889.99999999,61.95844850999999,Const_low
2048,R10MIDDLE_EAST,101.88087999999999,312366778.08,205.84970675472,Const_low
2048,R10NORTH_AM,51.836999999999996,158932241.99999997,104.73634747799998,Const_low
2048,R10PAC_OECD,6.958,21333228.0,14.058597251999998,Const_low
2048,R10REF_ECON,17.856,54746496.0,36.077940864,Const_low
2048,R10REST_ASIA,42.688,130881407.99999997,86.25084787199998,Const_low
2049,R10AFRICA,18.816000000000003,57689856.0,38.017615104,Const_low
2049,R10CHINA+,63.471000000000004,194602086.0,128.242774674,Const_low
2049,R10EUROPE,15.208,46627727.99999999,30.727672751999997,Const_low
2049,R10INDIA+,8.024,24601584.0,16.212443856,Const_low
2049,R10LATIN_AM,26.211,80362926.0,52.959168233999996,Const_low
2049,R10MIDDLE_EAST,85.29288,261507970.07999998,172.33375228271998,Const_low
2049,R10NORTH_AM,41.555,127407630.0,83.96162817,Const_low
2049,R10PAC_OECD,5.765000000000001,17675490.0,11.64814791,Const_low
2049,R10REF_ECON,15.136000000000001,46406976.0,30.582197184,Const_low
2049,R10REST_ASIA,37.683,115536077.99999999,76.13827540199998,Const_low
