Country Code,year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,rate_coal_gen_5y,rate_coal_share_5y,rate_coal_cap_5y,rate_gas_gen_5y,rate_gas_share_5y,Share_VRE_Gen
IRL,1990.0,915.0,5.1,915.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.818924065275521,540.0,10.0,540.0,0.0,0.0,0.0,0.0,0.0,6.29156913955832,0.0,0.0,0.0,0.2768798313422347,0.4160224877020379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDN,1990.0,1730.0,9.6,1730.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.455876687491824,1360.0,12.0,1360.0,0.0,0.0,0.0,0.0,0.0,7.215239978730097,0.0,0.0,0.0,0.1026963235684916,0.2949751651229423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,1990.0,41867.6,239.9,41867.6,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,10.642267537093272,1182.0,1.0,1182.0,0.0,0.0,0.0,0.0,0.0,7.074963197966044,0.0,0.0001053055776976,0.0222227169583617,0.0346048874555788,0.6659407911001151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001053055776976
ITA,1990.0,5390.0,29.3,5390.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,8.592300663903043,1017.0,12.0,1017.0,0.0,0.0,0.0,0.0,0.0,6.92461239604856,0.0,0.0,0.0,0.1863007271874266,0.1503635937133474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,1.0,2400.0,0.0,0.0,0.0,0.0,0.0,7.783224016336037,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,1991.0,545.0,3.4,545.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.300785794663244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.003800217155266,0.1483170466883822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,7.0,480.0,0.0,0.0,0.0,0.0,0.0,6.173786103901937,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UZB,1991.0,2284.0,13.0,2284.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,7.7336835707759,7290.0,30.0,7290.0,0.0,0.0,0.0,0.0,0.0,8.894258825002703,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4811.0,8.0,4811.0,0.0,0.0,0.0,0.0,0.0,8.478660241699453,0.0,0.0,0.0,0.4715431185876698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,1991.0,327782.78,1736.4,327782.78,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,12.700106411880284,95278.0,41.0,95278.0,0.0,0.0,0.0,0.0,0.0,11.464554213044808,0.0001462223169888,0.000911345113639,0.1971445102497782,0.1254376736847653,0.5266527195015269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010575674306278
UKR,1991.0,24218.0,139.9,24218.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,10.094851437314311,6971.0,33.0,6971.0,0.0,0.0,0.0,0.0,0.0,8.849513965486398,0.0,0.0,0.2697956691923726,0.166732502603512,0.3759112292167917,6.47726257482355,6.935257566646625,0.0,0.0,0.0,0.0,0.0,0.0
