Region,year,Model,Scenario,Category,growth_rate
R10INDIA+,2025,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.017062591499853452
R10INDIA+,2026,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.023567881445315075
R10INDIA+,2027,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.029698073551367887
R10INDIA+,2028,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.03548711364108925
R10INDIA+,2029,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.04096472290384545
R10INDIA+,2030,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.0461570659262045
R10INDIA+,2031,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.02439222882858072
R10INDIA+,2032,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,0.0028861626258374073
R10INDIA+,2033,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.01848047745977388
R10INDIA+,2034,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.0398274846415726
R10INDIA+,2035,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.06127933700235555
R10INDIA+,2036,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.07234444516296745
R10INDIA+,2037,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.08541824368845141
R10INDIA+,2038,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.10114488176153569
R10INDIA+,2039,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.12050255041836189
R10INDIA+,2040,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.14507573979905652
R10INDIA+,2041,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.16319282989578643
R10INDIA+,2042,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.18889566340394315
R10INDIA+,2043,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.2288575107845403
R10INDIA+,2044,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.30325435782997856
R10INDIA+,2045,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6672167861002419
R10INDIA+,2046,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,-0.6555894216702107
